,clf_acc,roi_name,zs_type,zs_type_2,leave_out_runs,detrend,zs_proportion,trial_feature_trs,subj,session
0,0.9,m1s1,baseline,none,1,none,1,"[4, 6]",ff004,1
0,0.75,m1s1,baseline,none,1,none,1,"[4, 6]",ff004,1
0,0.85,m1s1,baseline,none,1,none,1,"[4, 6]",ff004,1
0,0.95,m1s1,baseline,none,1,none,1,"[4, 6]",ff004,1
0,0.7,m1s1,baseline,none,1,none,1,"[4, 6]",ff004,1
0,0.3,m1s1,baseline,none,1,none,1,"[4, 6]",ff004,1
0,0.85,m1s1,baseline,none,1,none,1,"[4, 6]",ff004,1
0,0.8,m1s1,baseline,none,1,none,1,"[4, 6]",ff004,1
1,0.8,m1s1,baseline,none,1,sg1,1,"[4, 6]",ff004,1
1,0.9,m1s1,baseline,none,1,sg1,1,"[4, 6]",ff004,1
1,0.8,m1s1,baseline,none,1,sg1,1,"[4, 6]",ff004,1
1,0.9,m1s1,baseline,none,1,sg1,1,"[4, 6]",ff004,1
1,0.75,m1s1,baseline,none,1,sg1,1,"[4, 6]",ff004,1
1,0.75,m1s1,baseline,none,1,sg1,1,"[4, 6]",ff004,1
1,0.95,m1s1,baseline,none,1,sg1,1,"[4, 6]",ff004,1
1,0.8,m1s1,baseline,none,1,sg1,1,"[4, 6]",ff004,1
2,0.5,m1s1,baseline,none,1,sg2,1,"[4, 6]",ff004,1
2,0.9,m1s1,baseline,none,1,sg2,1,"[4, 6]",ff004,1
2,0.7,m1s1,baseline,none,1,sg2,1,"[4, 6]",ff004,1
2,0.95,m1s1,baseline,none,1,sg2,1,"[4, 6]",ff004,1
2,0.7,m1s1,baseline,none,1,sg2,1,"[4, 6]",ff004,1
2,0.7,m1s1,baseline,none,1,sg2,1,"[4, 6]",ff004,1
2,0.8,m1s1,baseline,none,1,sg2,1,"[4, 6]",ff004,1
2,0.7,m1s1,baseline,none,1,sg2,1,"[4, 6]",ff004,1
3,0.55,m1s1,baseline,none,1,sg3,1,"[4, 6]",ff004,1
3,0.55,m1s1,baseline,none,1,sg3,1,"[4, 6]",ff004,1
3,0.5,m1s1,baseline,none,1,sg3,1,"[4, 6]",ff004,1
3,0.55,m1s1,baseline,none,1,sg3,1,"[4, 6]",ff004,1
3,0.3,m1s1,baseline,none,1,sg3,1,"[4, 6]",ff004,1
3,0.35,m1s1,baseline,none,1,sg3,1,"[4, 6]",ff004,1
3,0.65,m1s1,baseline,none,1,sg3,1,"[4, 6]",ff004,1
3,0.55,m1s1,baseline,none,1,sg3,1,"[4, 6]",ff004,1
